Name,First_last,gender,ethnicity,source,info
Ali,first,M,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Hamza,first,M,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Hassan,first,M,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Ibrahim,first,M,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Junaid,first,M,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Haroon,first,M,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Wajih,first,M,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Asim,first,M,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Omer,first,M,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Ajmad,first,M,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Qasim,first,M,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Abdullah,first,M,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Raza,first,M,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Zeeshan,first,M,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Ayaan,first,M,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Ayesha,first,F,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Mahnoor,first,F,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Noor,first,F,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Maryam,first,F,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Areej,first,F,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Neha,first,F,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Sofia,first,F,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Fatima,first,F,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Hina,first,F,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Sana,first,F,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Sadia,first,F,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Zainah,first,F,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Zainab,first,F,Punjabi,https://top-names.info/names.php?S=M&P=PAK
Ali,last,,Urdu,https://top-names.info/names.php?S=M&P=PAK
Hamza,last,,Urdu,https://top-names.info/names.php?S=M&P=PAK
Hassan,last,,Urdu,https://top-names.info/names.php?S=M&P=PAK
Ibrahim,last,,Urdu,https://top-names.info/names.php?S=M&P=PAK
Junaid,last,,Urdu,https://top-names.info/names.php?S=M&P=PAK
Haroon,last,,Urdu,https://top-names.info/names.php?S=M&P=PAK
Wajih,last,,Urdu,https://top-names.info/names.php?S=M&P=PAK
Asim,last,,Urdu,https://top-names.info/names.php?S=M&P=PAK
Fatima,last,,Urdu,https://top-names.info/names.php?S=M&P=PAK
Zaryab,first,M,Pashto,https://hamariweb.com/names/pashto/
Gul,first,M,Pashto,https://hamariweb.com/names/pashto/
Babar,first,M,Pashto,https://hamariweb.com/names/pashto/
Zarak,first,M,Pashto,https://hamariweb.com/names/pashto/
Salar,first,M,Pashto,https://hamariweb.com/names/pashto/
Zartaj,first,M,Pashto,https://hamariweb.com/names/pashto/
Zaryab,first,F,Pashto,https://hamariweb.com/names/pashto/
Gul,first,F,Pashto,https://hamariweb.com/names/pashto/
Zarmina,first,F,Pashto,https://hamariweb.com/names/pashto/
Parsha, first,F,Pashto,https://hamariweb.com/names/pashto/
Khan,last,,Pashto,https://hamariweb.com/names/pashto/
Zarak,last,,Pashto,https://hamariweb.com/names/pashto/
Mohammad,last,,Pashto,https://hamariweb.com/names/pashto/
Ali,last,,Pashto,https://hamariweb.com/names/pashto/
Sanam,first,M,Sindhi,https://hamariweb.com/names/sindhi/
Pawan,first,M,Sindhi,https://hamariweb.com/names/sindhi/
Rohan,first,M,Sindhi,https://hamariweb.com/names/sindhi/
Afdal,first,M,Sindhi,https://hamariweb.com/names/sindhi/
Bilawal,first,M,Sindhi,https://hamariweb.com/names/sindhi/
Asifa,first,F,Sindhi,https://hamariweb.com/names/sindhi/
Aafreen,first,F,Sindhi,https://hamariweb.com/names/sindhi/
Shirin,first,F,Sindhi,https://hamariweb.com/names/sindhi/
Gulshan,first,F,Sindhi,https://hamariweb.com/names/sindhi/
Deeba,first,F,Sindhi,https://hamariweb.com/names/sindhi/
Dino,first,F,Sindhi,https://hamariweb.com/names/sindhi/
Sadoof,first,F,Sindhi,https://hamariweb.com/names/sindhi/
Rohan,last,,Sindhi,https://hamariweb.com/names/sindhi/
Pawan,last,,Sindhi,https://hamariweb.com/names/sindhi/
Sanam,last,,Sindhi,https://hamariweb.com/names/sindhi/
Ali,last,,Sindhi,https://hamariweb.com/names/sindhi/
Bhutto,last,,Sindhi,https://hamariweb.com/names/sindhi/
Rukhsar,first,M,Balochi,https://hamariweb.com/names/balochi/
Talat,first,M,Balochi,https://hamariweb.com/names/balochi/
Behram,first,M,Balochi,https://hamariweb.com/names/balochi/
Baloch,first,M,Balochi,https://hamariweb.com/names/balochi/
Mahal,first,M,Balochi,https://hamariweb.com/names/balochi/
Rukhsar,first,F,Balochi,https://hamariweb.com/names/balochi/
Talat,first,F,Balochi,https://hamariweb.com/names/balochi/
Mahgul,first,F,Balochi,https://hamariweb.com/names/balochi/
Dranna,first,F,Balochi,https://hamariweb.com/names/balochi/
Dananeer,first,F,Balochi,https://hamariweb.com/names/balochi/
Mahbano,first,F,Balochi,https://hamariweb.com/names/balochi/
Lalen,first,F,Balochi,https://hamariweb.com/names/balochi/
Baloch,last,,Balochi,https://hamariweb.com/names/balochi/
Talat,last,,Balochi,https://hamariweb.com/names/balochi/
Khan,last,,Balochi,https://hamariweb.com/names/balochi/




